,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
1,Jimin,83,6227865,https://open.spotify.com/artist/1oSPZhvZMIrWW5I41kPkkY,['k-pop'],Like Crazy,FACE,96,2023-03-24,212241,False,https://open.spotify.com/album/4xc3Lc9yASZgEJGH7acWMB,https://open.spotify.com/track/3Ua0m0YmEjrMi9XErKcNiR
2,BTS,88,67507448,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,"['k-pop', 'k-pop boy group', 'pop']",Left and Right (Feat. Jung Kook of BTS),CHARLIE,88,2022-10-06,154486,False,https://open.spotify.com/album/5Jk4Eg7pxYhDrWJCVVzmMt,https://open.spotify.com/track/5Odq8ohlgIbQKMZivbWkEo
3,Jung Kook,84,8656152,https://open.spotify.com/artist/6HaGTQPmzraVmaVxvz6EUc,['k-pop'],Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),97,2023-07-14,184400,True,https://open.spotify.com/album/53985D8g3JcGBoULSOYYKX,https://open.spotify.com/track/7x9aauaA9cu6tyfpHnqDLo
4,NewJeans,80,4130164,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,"['k-pop', 'k-pop girl group']",Super Shy,NewJeans 'Super Shy',93,2023-07-07,154666,False,https://open.spotify.com/album/5V729UqvhwNOcMejx0m55I,https://open.spotify.com/track/5sdQOyqq2IDhvmx2lHOpwd
5,LE SSERAFIM,76,2620665,https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,['k-pop girl group'],UNFORGIVEN (feat. Nile Rodgers),UNFORGIVEN,88,2023-05-01,182148,False,https://open.spotify.com/album/4Oz7K9DRwwGMN49i4NbVDT,https://open.spotify.com/track/51vRumtqbkNW9wrKfESwfu
6,IU,69,8073920,https://open.spotify.com/artist/3HqSLMAZ3g3d5poNaI7GOU,"['k-pop', 'pop']",People Pt.2 (feat. IU),D-DAY,77,2023-04-21,213995,False,https://open.spotify.com/album/446ROKmKfpEwkbi2SjELVX,https://open.spotify.com/track/41JPN7pZMTp1sumBOHOzHd
7,SEVENTEEN,78,9731900,https://open.spotify.com/artist/7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']",Super,SEVENTEEN 10th Mini Album 'FML',87,2023-04-24,200386,False,https://open.spotify.com/album/1JBzeeCJ3axQMVkqWbKh0I,https://open.spotify.com/track/3AOf6YEpxQ894FmrwI9k96
8,KANGDANIEL,57,868461,https://open.spotify.com/artist/5vGoWnZO65NBgiZYBmi3iW,['k-pop'],SOS,REALIEZ,74,2023-06-19,191826,False,https://open.spotify.com/album/70ptf4PxBI5aZdXWPbxTs0,https://open.spotify.com/track/3x9zIsVAQUNvU3J2tR58Di
9,aespa,72,3418447,https://open.spotify.com/artist/6YVMFz59CuY7ngCxTxjpxE,"['k-pop', 'k-pop girl group']",Spicy,MY WORLD - The 3rd Mini Album,84,2023-05-08,197040,False,https://open.spotify.com/album/69xF8jTd0c4Zoo7DT3Rwrn,https://open.spotify.com/track/1ULdASrNy5rurl1TZfFaMP
10,IVE,75,2488380,https://open.spotify.com/artist/6RHTUrRF63xao58xh9FXYJ,['k-pop girl group'],I AM,I've IVE,88,2023-04-10,183853,False,https://open.spotify.com/album/38VzP4yWfHdHafITKKRHEB,https://open.spotify.com/track/70t7Q6AYG6ZgTYmJWcnkUM
11,BIG Naughty,58,310583,https://open.spotify.com/artist/7cEaNXXTHx3LokbjUUyHal,['k-pop ballad'],NIGHT DANCER - BIG Naughty Remix,NIGHT DANCER,40,2023-06-28,210466,False,https://open.spotify.com/album/2NtgQvDdY30yPXlbEGFvuc,https://open.spotify.com/track/3kTUvyWw6uU8wLH7gwC4GR
12,(G)I-DLE,76,6534936,https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx,"['k-pop', 'k-pop girl group']",Queencard,I feel,90,2023-05-15,161240,False,https://open.spotify.com/album/3PQZnr5gf699uYEaGH93uG,https://open.spotify.com/track/4uOBL4DDWWVx4RhYKlPbPC
13,NCT DREAM,74,6906343,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,"['k-pop', 'k-pop boy group']",Broken Melodies,ISTJ - The 3rd Album,59,2023-07-17,226160,False,https://open.spotify.com/album/6RJlrKu60DPF6BMXVdotY7,https://open.spotify.com/track/63Czf03uph6EyJDL1z3x3z
14,BLACKPINK,82,43385244,https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group', 'pop']",Shut Down,BORN PINK,79,2022-09-15,175889,False,https://open.spotify.com/album/0kbZ4ZNRs76sSFeGUEErFM,https://open.spotify.com/track/7gRFDGEzF9UkBV233yv2dc
15,Jay Park,64,1983578,https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI,"['k-pop', 'k-rap', 'korean r&b']",MOMMAE,Worldwide,71,2015-11-05,204991,True,https://open.spotify.com/album/5vESroqrGYDxDPAwUceQxf,https://open.spotify.com/track/1LNlfvPQmB0cqYJQQskZ8x
16,Stray Kids,82,11990935,https://open.spotify.com/artist/2dIgFjalVxs4ThymZ67YCE,"['k-pop', 'k-pop boy group', 'pop']",S-Class,5-STAR,89,2023-06-02,195688,False,https://open.spotify.com/album/3Pel3gWsPxVpZVrciU0Fm6,https://open.spotify.com/track/3gTQwwDNJ42CCLo3Sf4JDd
17,Yerin Baek,56,568634,https://open.spotify.com/artist/6dhfy4ByARPJdPtMyrUYJK,['korean pop'],Here I Am Again,"Crash Landing on You (Original Television Soundtrack), Pt. 4",63,2020-01-12,234840,False,https://open.spotify.com/album/2qCB3BnsOtq3Rja6nPslrk,https://open.spotify.com/track/1uZ5Ulb2qfle3HbqB12vNQ
18,j-hope,70,15407840,https://open.spotify.com/artist/0b1sIQumIAsNbqAoIClSpy,"['k-pop', 'k-rap']",on the street (with J. Cole),on the street (with J. Cole),83,2023-03-03,214701,True,https://open.spotify.com/album/70xdtgH5XuYTqBNdNbUwGO,https://open.spotify.com/track/5wxYxygyHpbgv0EXZuqb9V
19,10cm,54,500369,https://open.spotify.com/artist/6zn0ihyAApAYV51zpXxdEp,['korean pop'],Drawer,"Our Beloved Summer (Original Television Soundtrack), Pt.1",61,2021-12-07,237266,False,https://open.spotify.com/album/1EZNobvRioRsfH5Av4fjBv,https://open.spotify.com/track/1OQ3PoRZRtE7RH0NIh3p1O
20,SUGA,68,2476725,https://open.spotify.com/artist/0ebNdVaOfp6N0oZ1guIxM8,['k-pop'],Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Lilith (feat. SUGA of BTS) (Diablo IV Anthem),85,2023-06-05,180933,True,https://open.spotify.com/album/3jN1Hlw2BsZZJigsA2kgBA,https://open.spotify.com/track/3l6LBCOL9nPsSY29TUY2VE
